model,input_max_length,banking77 exact_match,chinese_poem substring_exact_match,clinic150 exact_match,json_kv substring_exact_match,nlu exact_match,ruler_niah_mk_2 ruler_recall,ruler_niah_mk_3 ruler_recall,ruler_niah_mv ruler_recall,trec_coarse exact_match,trec_fine exact_match
ERNIE-4.5-0.3B-Base-PT,4096,44.2,,39.800000000000004,99.0,53.400000000000006,98.0,89.0,91.75,73.6,28.599999999999998
ERNIE-4.5-21B-A3B-Base-PT,4096,66.0,,68.60000000000001,100.0,72.2,100.0,99.0,100.0,93.2,52.2
ERNIE_A3B_4k_end_Prolong_5B,4096,38.0,,44.6,80.0,52.800000000000004,62.0,16.0,84.25,72.2,22.6
ERNIE_A3B_4k_end_Prolong_5B_900_STEP,4096,40.6,,47.599999999999994,83.0,55.400000000000006,66.0,28.000000000000004,80.5,68.4,21.6
eb4p5_lite_4k_120k,4096,43.4,,23.0,85.0,51.6,89.0,63.0,96.5,74.6,15.6
ernie-A3B-4k-end,4096,26.200000000000003,,17.0,86.0,34.2,75.0,66.0,95.0,83.39999999999999,10.6
ernie4p5-4k-end-ema,4096,28.799999999999997,,19.6,90.0,38.4,70.0,53.0,95.25,82.6,8.799999999999999
l18-SWA-baseline,4096,,78.0,,,,,,,,
l18-prolong,4096,,92.0,,,,,,,,
llama3-prolong-64k-5B,4096,63.6,,62.4,100.0,66.2,100.0,100.0,98.75,44.2,23.599999999999998
qwen3-150b,4096,23.200000000000003,,19.0,8.0,40.2,19.0,15.0,83.25,17.599999999999998,12.6
qwen3-muon-150b,4096,37.8,,13.600000000000001,0.0,24.8,15.0,15.0,87.5,44.0,16.8
qwen3next-1p8b-fineweb150b-8k,4096,36.8,,32.800000000000004,31.0,40.2,65.0,24.0,75.75,55.55555555555556,7.6
