model,input_max_length,banking77 exact_match,chinese_poem substring_exact_match,clinic150 exact_match,json_kv substring_exact_match,nlu exact_match,ruler_niah_mk_2 ruler_recall,ruler_niah_mk_3 ruler_recall,ruler_niah_mv ruler_recall,trec_coarse exact_match,trec_fine exact_match
ERNIE-4.5-0.3B-Base-PT,4096,44.2,,39.800000000000004,99.0,53.400000000000006,98.0,89.0,91.75,73.6,28.599999999999998
ERNIE-4.5-0.3B-Base-PT,32768,73.6,73.0,78.60000000000001,100.0,75.4,97.0,82.0,65.25,88.6,52.0
ERNIE-4.5-0.3B-Base-PT,65536,75.0,63.0,83.39999999999999,94.0,78.2,84.0,94.0,41.25,88.2,52.6
ERNIE-4.5-0.3B-Base-PT,131072,77.4,35.0,83.6,57.99999999999999,78.2,53.0,67.0,24.75,87.8,54.400000000000006
ERNIE-4.5-21B-A3B-Base-PT,4096,66.0,,68.60000000000001,100.0,72.2,100.0,99.0,100.0,93.2,52.2
ERNIE-4.5-21B-A3B-Base-PT,32768,82.0,78.0,90.2,98.0,79.2,95.0,72.0,87.5,94.19999999999999,71.8
ERNIE-4.5-21B-A3B-Base-PT,65536,86.0,32.0,92.2,82.0,81.39999999999999,51.0,70.0,71.5,95.19999999999999,71.6
ERNIE-4.5-21B-A3B-Base-PT,131072,86.0,6.0,93.4,57.99999999999999,80.0,18.0,21.0,45.0,94.39999999999999,72.0
ERNIE-4.5-21B-A3B-MidTrain-exp6,32768,85.2,94.0,90.4,97.0,82.0,96.0,81.0,98.75,92.80000000000001,68.0
ERNIE-4.5-21B-A3B-MidTrain-exp6,65536,87.4,48.0,91.60000000000001,82.0,80.60000000000001,84.0,78.0,87.0,94.0,72.6
ERNIE-4.5-21B-A3B-MidTrain-exp6,131072,89.2,6.0,92.0,42.0,80.2,15.0,8.0,50.5,94.6,73.8
ERNIE-4.5-21B-A3B-PT,32768,83.0,96.0,91.0,96.0,83.6,85.0,88.0,91.75,84.0,49.0
ERNIE-4.5-21B-A3B-PT,65536,83.8,59.0,89.4,61.0,82.39999999999999,48.0,35.0,81.25,79.80000000000001,48.199999999999996
ERNIE-4.5-21B-A3B-PT,131072,81.2,2.0,84.6,13.0,75.8,9.0,0.0,29.25,72.6,33.0
ERNIE-4.5-300B-A47B-Base-PT,32768,83.8,,90.2,72.0,84.0,62.0,61.0,96.0,90.60000000000001,53.6
ERNIE_A3B_4k_end_Prolong_5B,4096,38.0,,44.6,80.0,52.800000000000004,62.0,16.0,84.25,72.2,22.6
