model,input_max_length,古诗Recall
l18-prolong,4096,92.0
l18-SWA-baseline,4096,78.0
Kimi-Linear-48B-A3B-Instruct,32768,99.0
Qwen3-30B-A3B-Instruct-2507,32768,98.0
ERNIE-4.5-21B-A3B-PT,32768,96.0
Qwen3-Next-80B-A3B-Instruct,32768,96.0
ERNIE-4.5-21B-A3B-MidTrain-exp6,32768,94.0
Kimi-Linear-48B-A3B-Base,32768,83.0
ERNIE-4.5-21B-A3B-Base-PT,32768,78.0
ERNIE-4.5-0.3B-Base-PT,32768,73.0
l18-prolong,32768,44.0
gpt-oss-20b,32768,2.0
Qwen3-30B-A3B-Instruct-2507,65536,99.0
Kimi-Linear-48B-A3B-Instruct,65536,97.0
Qwen3-Next-80B-A3B-Instruct,65536,94.0
Kimi-Linear-48B-A3B-Base,65536,69.0
ERNIE-4.5-0.3B-Base-PT,65536,63.0
ERNIE-4.5-21B-A3B-PT,65536,59.0
ERNIE-4.5-21B-A3B-MidTrain-exp6,65536,48.0
ERNIE-4.5-21B-A3B-Base-PT,65536,32.0
gpt-oss-20b,65536,6.0
Qwen3-30B-A3B-Instruct-2507,131072,98.0
Qwen3-Next-80B-A3B-Instruct,131072,93.0
Kimi-Linear-48B-A3B-Instruct,131072,91.0
Kimi-Linear-48B-A3B-Base,131072,56.99999999999999
ERNIE-4.5-0.3B-Base-PT,131072,35.0
ERNIE-4.5-21B-A3B-Base-PT,131072,6.0
ERNIE-4.5-21B-A3B-MidTrain-exp6,131072,6.0
ERNIE-4.5-21B-A3B-PT,131072,2.0
gpt-oss-20b,131072,0.0
